step,T (C),t hours,39Ar (mol),uncertainty
1,450,0.3,1.3175E-14,5.2547E-16
2,450,0.366666667,6.0915E-15,3.1723E-16
3,500,0.25,2.1560E-14,2.5326E-16
4,500,0.366666667,1.7682E-14,3.5191E-16
5,550,0.316666667,5.3487E-14,2.6235E-16
6,550,0.366666667,3.0089E-14,3.5571E-16
7,600,0.25,6.6444E-14,3.2372E-16
8,600,0.266666667,4.4505E-14,4.2151E-16
9,650,0.266666667,1.1609E-13,4.3731E-16
10,650,0.366666667,7.9128E-14,3.1626E-16
11,700,0.316666667,1.6480E-13,3.6525E-16
12,700,0.383333333,7.9128E-14,3.1626E-16
13,750,0.333333333,1.2645E-13,3.3675E-16
14,750,0.366666667,7.8890E-14,3.0362E-16
15,800,0.3,1.1037E-13,2.4419E-16
16,800,0.333333333,6.1381E-14,2.7475E-16
17,825,0.25,5.2682E-14,2.2697E-16
18,850,0.266666667,6.5767E-14,2.3896E-16
19,875,0.25,7.2369E-14,2.0802E-16
20,900,0.25,8.0091E-14,1.8418E-16
21,925,0.25,9.3203E-14,2.3044E-16
22,950,0.25,1.0719E-13,1.9096E-16
23,975,0.25,1.3886E-13,2.1078E-16
24,1000,0.25,1.6629E-13,1.9833E-16
25,1025,0.25,2.0477E-13,3.6088E-16
26,1050,0.25,2.4071E-13,2.2339E-16
27,1075,0.25,2.6584E-13,3.7281E-16
28,1100,0.25,2.3467E-13,3.6377E-16
29,1100,0.5,2.4109E-13,3.9023E-16
30,1100,1,2.5032E-13,2.5611E-16
31,1100,2.016666667,2.8025E-13,6.0381E-16
32,1100,3.116666667,4.2159E-13,1.1390E-15
33,1100,8.85,3.6282E-13,5.5809E-16
34,1150,0.266666667,3.2304E-14,1.0749E-16
35,1175,0.25,7.6455E-14,1.5734E-16
36,1200,0.25,1.3535E-13,2.3712E-16
37,1225,0.983333333,3.7610E-13,4.1770E-16
38,1250,0.583333333,1.2983E-13,2.7857E-16
39,1275,0.266666667,2.4265E-14,1.3961E-16
40,1300,0.3,2.0955E-14,1.6666E-16
41,1550,0.25,6.6431E-14,5.9663E-16
42,1550,0.25,3.3782E-15,6.3026E-16